player,cnt,hs,acs,adr,rating,fk
JessieVash,39,23.487179487179485,171.30769230769232,115.82051282051282,0.9261538461538461,1.435897435897436
JitBoyS,21,29.047619047619047,185.71428571428572,123.76190476190476,0.9647619047619047,1.3333333333333333
Patiphan,25,27.88,210.36,139.56,1.0012,1.96
garnetS,22,25.272727272727273,223.1818181818182,143.95454545454547,0.9695454545454546,4.045454545454546
foxz,26,26.73076923076923,190.6153846153846,128.73076923076923,0.9784615384615384,1.5384615384615385
Crws,27,24.333333333333332,184.74074074074073,122.48148148148148,0.9114814814814812,1.4814814814814814
Sushiboys,10,21.9,187.8,123.1,0.8600000000000001,1.3
xffero,30,23.066666666666666,216.9,136.26666666666668,1.120666666666667,1.8333333333333333
2ge,21,28.047619047619047,176.0952380952381,115.42857142857143,1.0499999999999998,0.7142857142857143
fl1pzjder,29,27.620689655172413,188.10344827586206,121.6896551724138,1.0079310344827586,1.6206896551724137
EJAY,29,20.517241379310345,210.0,135.82758620689654,0.9686206896551726,3.206896551724138
Lmemore,29,33.89655172413793,206.89655172413794,138.41379310344828,0.9627586206896553,2.413793103448276
Meteor,41,24.463414634146343,226.90243902439025,148.0731707317073,1.008780487804878,3.8780487804878048
GodDead,41,20.341463414634145,175.14634146341464,113.1219512195122,0.9434146341463414,1.170731707317073
k1Ng,41,26.365853658536587,205.58536585365854,137.46341463414635,1.0165853658536588,1.8048780487804879
eKo,14,25.285714285714285,163.92857142857142,107.07142857142857,0.9014285714285715,1.0714285714285714
TS,41,22.658536585365855,182.70731707317074,116.02439024390245,0.921951219512195,1.5121951219512195
Sylvan,27,26.22222222222222,190.8148148148148,122.70370370370371,0.9914814814814816,1.7777777777777777
BuZz,57,22.68421052631579,224.5438596491228,145.2280701754386,1.0650877192982453,3.017543859649123
something,40,23.7,222.4,141.125,1.1610000000000003,3.725
Emman,8,34.375,182.375,120.375,0.9425,1.875
Seoldam,14,18.5,212.92857142857142,129.85714285714286,0.9114285714285716,4.571428571428571
Lightningfast,2,20.0,177.5,108.5,0.8300000000000001,3.5
SkRossi,13,24.153846153846153,212.30769230769232,135.84615384615384,0.9584615384615385,2.8461538461538463
cgrs,17,21.058823529411764,156.52941176470588,100.88235294117646,0.8376470588235294,1.0588235294117647
lenne,1,12.0,139.0,83.0,0.78,0.0
Bunny,1,18.0,272.0,187.0,1.17,2.0
Clutch_Fi,1,44.0,95.0,69.0,0.72,0.0
RazzieBinx,1,30.0,246.0,170.0,1.03,3.0
SuperBusS,1,23.0,211.0,125.0,0.87,4.0
YuRiHaNa,1,26.0,97.0,66.0,0.57,0.0
sheydos,31,27.483870967741936,188.19354838709677,123.0,1.058387096774194,1.1612903225806452
trexx,31,17.548387096774192,232.16129032258064,151.6451612903226,1.1151612903225807,2.4516129032258065
starxo,31,22.161290322580644,186.19354838709677,121.70967741935483,0.9603225806451612,1.5806451612903225
koldamenta,31,23.93548387096774,127.6774193548387,81.87096774193549,0.7674193548387099,0.8709677419354839
Wolfen,31,26.06451612903226,210.16129032258064,135.70967741935485,0.9177419354838708,3.6774193548387095
cNed,49,26.591836734693878,222.91836734693877,146.42857142857142,1.0481632653061224,3.5918367346938775
ANGE1,49,30.224489795918366,177.3469387755102,117.24489795918367,0.8469387755102041,3.1020408163265305
Shao,49,34.673469387755105,192.46938775510205,129.30612244897958,1.090204081632653,1.4081632653061225
Zyppan,49,32.40816326530612,199.16326530612244,133.9795918367347,1.0199999999999998,2.0816326530612246
SUYGETSU,49,33.30612244897959,198.0204081632653,133.10204081632654,1.0757142857142856,1.7142857142857142
Boaster,52,20.326923076923077,165.3653846153846,104.0576923076923,1.013846153846154,1.5
Chronicle,52,24.0,211.92307692307693,138.67307692307693,1.1540384615384611,1.6923076923076923
Leo,52,22.615384615384617,201.30769230769232,129.67307692307693,1.2190384615384617,0.8076923076923077
kamyk,5,29.0,199.8,127.8,1.0799999999999998,2.6
Derke,52,24.442307692307693,251.01923076923077,164.94230769230768,1.1411538461538462,4.980769230769231
Cloud,39,30.076923076923077,217.23076923076923,143.94871794871796,1.0982051282051286,2.358974358974359
nukkye,39,22.153846153846153,208.94871794871796,143.12820512820514,1.0902564102564103,1.7435897435897436
hoody,39,25.794871794871796,209.56410256410257,138.30769230769232,1.0928205128205128,2.076923076923077
Fit1nho,39,29.17948717948718,218.15384615384616,141.97435897435898,1.0864102564102562,3.871794871794872
rhyme,39,30.743589743589745,168.64102564102564,112.02564102564102,0.9092307692307693,1.3846153846153846
AvovA,24,26.0,179.66666666666666,114.0,0.9479166666666666,1.2916666666666667
Boo,24,29.708333333333332,168.625,115.33333333333333,0.8695833333333334,1.375
Mixwell,24,20.958333333333332,187.875,124.58333333333333,0.8312499999999999,2.0
keloqz,24,25.916666666666668,193.25,125.0,0.8158333333333334,3.125
zeek,14,26.714285714285715,196.14285714285714,129.71428571428572,0.9021428571428572,2.0
qw1,48,26.333333333333332,216.3125,137.29166666666666,1.0139583333333333,4.041666666666667
MrFaliN,48,24.229166666666668,188.04166666666666,121.89583333333333,0.9883333333333334,1.3125
qRaxs,48,30.479166666666668,194.375,125.70833333333333,0.9799999999999996,1.4166666666666667
AtaKaptan,46,28.67391304347826,192.34782608695653,122.80434782608695,1.0130434782608695,1.4782608695652173
MOJJ,48,28.541666666666668,186.45833333333334,126.95833333333333,0.9391666666666668,1.7083333333333333
Sayf,46,23.73913043478261,246.17391304347825,158.3913043478261,1.1795652173913045,3.8043478260869565
Jamppi,48,26.104166666666668,198.8125,128.6875,1.018333333333333,1.7291666666666667
nAts,48,28.708333333333332,220.0625,143.08333333333334,1.0777083333333333,2.0833333333333335
soulcas,48,35.145833333333336,167.02083333333334,108.25,0.9545833333333337,1.2083333333333333
Redgar,48,35.375,166.6875,107.79166666666667,0.8993749999999997,2.2708333333333335
BONECOLD,26,30.346153846153847,171.30769230769232,109.88461538461539,0.91,1.7692307692307692
Destrian,26,24.23076923076923,176.65384615384616,116.73076923076923,0.9638461538461538,1.2307692307692308
MOLSI,26,25.807692307692307,181.73076923076923,122.42307692307692,0.9715384615384614,1.7307692307692308
Twisten,26,23.846153846153847,219.3846153846154,141.1153846153846,1.0142307692307693,3.576923076923077
ceNder,26,28.307692307692307,203.26923076923077,138.76923076923077,0.9984615384615384,1.9230769230769231
Nivera,27,30.25925925925926,199.77777777777777,125.96296296296296,0.9666666666666669,2.925925925925926
xms,27,31.0,167.2962962962963,115.22222222222223,0.8748148148148147,1.1851851851851851
ScreaM,27,31.22222222222222,231.7037037037037,150.66666666666666,0.9862962962962962,4.7407407407407405
Newzera,8,39.0,124.75,85.375,0.70375,0.75
sh1n,27,31.40740740740741,165.7037037037037,107.25925925925925,0.8977777777777777,1.2222222222222223
SouhcNi,24,28.583333333333332,166.83333333333334,112.5,0.8933333333333332,1.8333333333333333
QutionerX,24,26.625,240.83333333333334,158.29166666666666,1.0724999999999998,4.125
Brave,24,33.416666666666664,192.41666666666666,126.25,0.9704166666666666,1.7083333333333333
Turko,24,31.916666666666668,170.04166666666666,111.29166666666667,0.9829166666666667,1.1666666666666667
AsLanM4shadoW,24,26.958333333333332,205.41666666666666,137.54166666666666,0.9420833333333336,1.7083333333333333
Muj,2,19.0,169.5,109.0,0.815,2.0
Alfajer,47,27.74468085106383,230.9787234042553,152.2340425531915,1.228297872340426,2.425531914893617
ZE1SH,19,27.526315789473685,133.94736842105263,87.94736842105263,0.74,0.9473684210526315
Harmii,2,17.5,175.0,108.0,0.84,2.5
weber,7,38.42857142857143,155.28571428571428,107.71428571428571,0.8685714285714285,1.0
zekken,30,22.966666666666665,244.83333333333334,163.1,1.079,3.0
